@RELATION convolution
@ATTRIBUTE tensor_1 INTEGER
@ATTRIBUTE tensor_2 INTEGER
@ATTRIBUTE tensor_3 INTEGER
@ATTRIBUTE tensor_4 INTEGER
@ATTRIBUTE tensor_5 INTEGER
@ATTRIBUTE tensor_6 INTEGER
@ATTRIBUTE tensor_7 INTEGER
@ATTRIBUTE tuner INTEGER
@ATTRIBUTE precision INTEGER
@attribute architecture INTEGER
@ATTRIBUTE class {conv,directconv,winogradconv}
@DATA
128,7,7,9,64,1,1,0,0,0,conv
128,7,7,9,8,1,1,0,0,0,conv
16,7,7,1,1024,1,1,0,0,0,conv
16,7,7,1,128,1,1,0,0,0,conv
16,7,7,1,16,1,1,0,0,0,conv
16,7,7,1,256,1,1,0,0,0,conv
16,7,7,1,32,1,1,0,0,0,conv
16,7,7,1,512,1,1,0,0,0,conv
16,7,7,1,64,1,1,0,0,0,conv
16,7,7,1,8,1,1,0,0,0,conv
16,7,7,3,1024,1,1,0,0,0,conv
16,7,7,3,128,1,1,0,0,0,conv
16,7,7,3,16,1,1,0,0,0,conv
16,7,7,3,256,1,1,0,0,0,conv
16,7,7,3,32,1,1,0,0,0,directconv
16,7,7,3,512,1,1,0,0,0,conv
16,7,7,3,64,1,1,0,0,0,directconv
16,7,7,3,8,1,1,0,0,0,conv
16,7,7,5,1024,1,1,0,0,0,conv
16,7,7,5,128,1,1,0,0,0,conv
16,7,7,5,16,1,1,0,0,0,directconv
16,7,7,5,256,1,1,0,0,0,conv
16,7,7,5,32,1,1,0,0,0,directconv
16,7,7,5,512,1,1,0,0,0,conv
16,7,7,5,64,1,1,0,0,0,directconv
16,7,7,5,8,1,1,0,0,0,directconv
16,7,7,7,1024,1,1,0,0,0,conv
16,7,7,7,128,1,1,0,0,0,conv
16,7,7,7,16,1,1,0,0,0,conv
16,7,7,7,256,1,1,0,0,0,conv
16,7,7,7,32,1,1,0,0,0,conv
16,7,7,7,512,1,1,0,0,0,conv
16,7,7,7,64,1,1,0,0,0,conv
16,7,7,7,8,1,1,0,0,0,conv
16,7,7,9,1024,1,1,0,0,0,conv
16,7,7,9,128,1,1,0,0,0,conv
16,7,7,9,16,1,1,0,0,0,conv
16,7,7,9,256,1,1,0,0,0,conv
16,7,7,9,32,1,1,0,0,0,conv
16,7,7,9,512,1,1,0,0,0,conv
16,7,7,9,64,1,1,0,0,0,conv
16,7,7,9,8,1,1,0,0,0,conv
2048,7,7,1,1024,1,1,0,0,0,conv
2048,7,7,1,128,1,1,0,0,0,conv
2048,7,7,1,16,1,1,0,0,0,conv
2048,7,7,1,256,1,1,0,0,0,conv
2048,7,7,1,32,1,1,0,0,0,conv
2048,7,7,1,512,1,1,0,0,0,conv
2048,7,7,1,64,1,1,0,0,0,conv
2048,7,7,1,8,1,1,0,0,0,conv
2048,7,7,3,1024,1,1,0,0,0,conv
2048,7,7,3,128,1,1,0,0,0,conv
2048,7,7,3,16,1,1,0,0,0,directconv
2048,7,7,3,256,1,1,0,0,0,conv
2048,7,7,3,32,1,1,0,0,0,directconv
2048,7,7,3,512,1,1,0,0,0,conv
2048,7,7,3,64,1,1,0,0,0,conv
2048,7,7,3,8,1,1,0,0,0,directconv
2048,7,7,5,1024,1,1,0,0,0,directconv
2048,7,7,5,128,1,1,0,0,0,conv
2048,7,7,5,16,1,1,0,0,0,directconv
2048,7,7,5,256,1,1,0,0,0,conv
2048,7,7,5,32,1,1,0,0,0,directconv
2048,7,7,5,512,1,1,0,0,0,conv
2048,7,7,5,64,1,1,0,0,0,directconv
2048,7,7,5,8,1,1,0,0,0,directconv
2048,7,7,7,1024,1,1,0,0,0,conv
2048,7,7,7,128,1,1,0,0,0,conv
2048,7,7,7,16,1,1,0,0,0,conv
2048,7,7,7,256,1,1,0,0,0,conv
2048,7,7,7,32,1,1,0,0,0,conv
2048,7,7,7,512,1,1,0,0,0,conv
2048,7,7,7,64,1,1,0,0,0,conv
2048,7,7,7,8,1,1,0,0,0,conv
2048,7,7,9,1024,1,1,0,0,0,conv
2048,7,7,9,128,1,1,0,0,0,conv
2048,7,7,9,16,1,1,0,0,0,conv
2048,7,7,9,256,1,1,0,0,0,conv
2048,7,7,9,32,1,1,0,0,0,conv
2048,7,7,9,512,1,1,0,0,0,conv
2048,7,7,9,64,1,1,0,0,0,conv
2048,7,7,9,8,1,1,0,0,0,conv
256,7,7,1,1024,1,1,0,0,0,conv
256,7,7,1,128,1,1,0,0,0,conv
256,7,7,1,16,1,1,0,0,0,conv
256,7,7,1,256,1,1,0,0,0,conv
256,7,7,1,32,1,1,0,0,0,conv
256,7,7,1,512,1,1,0,0,0,conv
256,7,7,1,64,1,1,0,0,0,conv
256,7,7,1,8,1,1,0,0,0,conv
256,7,7,3,1024,1,1,0,0,0,conv
256,7,7,3,128,1,1,0,0,0,conv
256,7,7,3,16,1,1,0,0,0,directconv
256,7,7,3,256,1,1,0,0,0,conv
256,7,7,3,32,1,1,0,0,0,directconv
256,7,7,3,512,1,1,0,0,0,conv
256,7,7,3,64,1,1,0,0,0,directconv
256,7,7,3,8,1,1,0,0,0,winogradconv
256,7,7,5,1024,1,1,0,0,0,conv
256,7,7,5,128,1,1,0,0,0,conv
256,7,7,5,16,1,1,0,0,0,directconv
256,7,7,5,256,1,1,0,0,0,conv
256,7,7,5,32,1,1,0,0,0,directconv
256,7,7,5,512,1,1,0,0,0,conv
256,7,7,5,64,1,1,0,0,0,conv
256,7,7,5,8,1,1,0,0,0,directconv
256,7,7,7,1024,1,1,0,0,0,conv
256,7,7,7,128,1,1,0,0,0,conv
256,7,7,7,16,1,1,0,0,0,conv
256,7,7,7,256,1,1,0,0,0,conv
256,7,7,7,32,1,1,0,0,0,conv
256,7,7,7,512,1,1,0,0,0,conv
256,7,7,7,64,1,1,0,0,0,conv
256,7,7,7,8,1,1,0,0,0,conv
256,7,7,9,1024,1,1,0,0,0,conv
256,7,7,9,128,1,1,0,0,0,conv
256,7,7,9,16,1,1,0,0,0,conv
256,7,7,9,256,1,1,0,0,0,conv
256,7,7,9,32,1,1,0,0,0,conv
256,7,7,9,512,1,1,0,0,0,conv
256,7,7,9,64,1,1,0,0,0,conv
256,7,7,9,8,1,1,0,0,0,conv
3,7,7,1,1024,1,1,0,0,0,conv
3,7,7,1,128,1,1,0,0,0,conv
3,7,7,1,16,1,1,0,0,0,conv
3,7,7,1,256,1,1,0,0,0,conv
3,7,7,1,32,1,1,0,0,0,conv
3,7,7,1,512,1,1,0,0,0,conv
3,7,7,1,64,1,1,0,0,0,conv
3,7,7,1,8,1,1,0,0,0,conv
3,7,7,3,1024,1,1,0,0,0,directconv
3,7,7,3,128,1,1,0,0,0,directconv
3,7,7,3,16,1,1,0,0,0,directconv
3,7,7,3,256,1,1,0,0,0,directconv
3,7,7,3,32,1,1,0,0,0,directconv
3,7,7,3,512,1,1,0,0,0,directconv
3,7,7,3,64,1,1,0,0,0,directconv
3,7,7,3,8,1,1,0,0,0,conv
3,7,7,5,1024,1,1,0,0,0,conv
3,7,7,5,128,1,1,0,0,0,conv
3,7,7,5,16,1,1,0,0,0,directconv
3,7,7,5,256,1,1,0,0,0,conv
3,7,7,5,32,1,1,0,0,0,directconv
3,7,7,5,512,1,1,0,0,0,conv
3,7,7,5,64,1,1,0,0,0,directconv
3,7,7,5,8,1,1,0,0,0,directconv
3,7,7,7,1024,1,1,0,0,0,conv
3,7,7,7,128,1,1,0,0,0,conv
3,7,7,7,16,1,1,0,0,0,conv
3,7,7,7,256,1,1,0,0,0,conv
3,7,7,7,32,1,1,0,0,0,conv
3,7,7,7,512,1,1,0,0,0,conv
3,7,7,7,64,1,1,0,0,0,conv
3,7,7,7,8,1,1,0,0,0,conv
3,7,7,9,1024,1,1,0,0,0,conv
3,7,7,9,128,1,1,0,0,0,conv
3,7,7,9,16,1,1,0,0,0,conv
3,7,7,9,256,1,1,0,0,0,conv
3,7,7,9,32,1,1,0,0,0,conv
3,7,7,9,512,1,1,0,0,0,conv
3,7,7,9,64,1,1,0,0,0,conv
3,7,7,9,8,1,1,0,0,0,conv
32,7,7,1,1024,1,1,0,0,0,conv
32,7,7,1,128,1,1,0,0,0,conv
32,7,7,1,16,1,1,0,0,0,conv
32,7,7,1,256,1,1,0,0,0,conv
32,7,7,1,32,1,1,0,0,0,conv
32,7,7,1,512,1,1,0,0,0,conv
32,7,7,1,64,1,1,0,0,0,conv
32,7,7,1,8,1,1,0,0,0,conv
32,7,7,3,1024,1,1,0,0,0,conv
32,7,7,3,128,1,1,0,0,0,directconv
32,7,7,3,16,1,1,0,0,0,directconv
32,7,7,3,256,1,1,0,0,0,conv
32,7,7,3,32,1,1,0,0,0,directconv
32,7,7,3,512,1,1,0,0,0,conv
32,7,7,3,64,1,1,0,0,0,directconv
32,7,7,3,8,1,1,0,0,0,directconv
32,7,7,5,1024,1,1,0,0,0,directconv
32,7,7,5,128,1,1,0,0,0,conv
32,7,7,5,16,1,1,0,0,0,directconv
32,7,7,5,256,1,1,0,0,0,conv
32,7,7,5,32,1,1,0,0,0,directconv
32,7,7,5,512,1,1,0,0,0,conv
32,7,7,5,64,1,1,0,0,0,directconv
32,7,7,5,8,1,1,0,0,0,directconv
32,7,7,7,1024,1,1,0,0,0,conv
32,7,7,7,128,1,1,0,0,0,conv
32,7,7,7,16,1,1,0,0,0,conv
32,7,7,7,256,1,1,0,0,0,conv
32,7,7,7,32,1,1,0,0,0,conv
32,7,7,7,512,1,1,0,0,0,conv
32,7,7,7,64,1,1,0,0,0,conv
32,7,7,7,8,1,1,0,0,0,conv
32,7,7,9,1024,1,1,0,0,0,conv
32,7,7,9,128,1,1,0,0,0,conv
32,7,7,9,16,1,1,0,0,0,conv
32,7,7,9,256,1,1,0,0,0,conv
32,7,7,9,32,1,1,0,0,0,conv
32,7,7,9,512,1,1,0,0,0,conv
32,7,7,9,64,1,1,0,0,0,conv
32,7,7,9,8,1,1,0,0,0,conv
512,7,7,1,1024,1,1,0,0,0,conv
512,7,7,1,128,1,1,0,0,0,conv
512,7,7,1,16,1,1,0,0,0,conv
512,7,7,1,256,1,1,0,0,0,conv
512,7,7,1,32,1,1,0,0,0,conv
512,7,7,1,512,1,1,0,0,0,conv
512,7,7,1,64,1,1,0,0,0,conv
512,7,7,1,8,1,1,0,0,0,conv
512,7,7,3,1024,1,1,0,0,0,conv
512,7,7,3,128,1,1,0,0,0,conv
512,7,7,3,16,1,1,0,0,0,directconv
512,7,7,3,256,1,1,0,0,0,conv
512,7,7,3,32,1,1,0,0,0,directconv
512,7,7,3,512,1,1,0,0,0,conv
512,7,7,3,64,1,1,0,0,0,directconv
512,7,7,3,8,1,1,0,0,0,directconv
512,7,7,5,1024,1,1,0,0,0,directconv
512,7,7,5,128,1,1,0,0,0,conv
512,7,7,5,16,1,1,0,0,0,directconv
512,7,7,5,256,1,1,0,0,0,conv
512,7,7,5,32,1,1,0,0,0,directconv
512,7,7,5,512,1,1,0,0,0,conv
512,7,7,5,64,1,1,0,0,0,conv
512,7,7,5,8,1,1,0,0,0,directconv
512,7,7,7,1024,1,1,0,0,0,conv
512,7,7,7,128,1,1,0,0,0,conv
512,7,7,7,16,1,1,0,0,0,conv
512,7,7,7,256,1,1,0,0,0,conv
512,7,7,7,32,1,1,0,0,0,conv
512,7,7,7,512,1,1,0,0,0,conv
512,7,7,7,64,1,1,0,0,0,conv
512,7,7,7,8,1,1,0,0,0,conv
512,7,7,9,1024,1,1,0,0,0,conv
512,7,7,9,128,1,1,0,0,0,conv
512,7,7,9,16,1,1,0,0,0,conv
512,7,7,9,256,1,1,0,0,0,conv
512,7,7,9,32,1,1,0,0,0,conv
512,7,7,9,512,1,1,0,0,0,conv
512,7,7,9,64,1,1,0,0,0,conv
512,7,7,9,8,1,1,0,0,0,conv
64,7,7,1,1024,1,1,0,0,0,conv
64,7,7,1,128,1,1,0,0,0,conv
64,7,7,1,16,1,1,0,0,0,conv
64,7,7,1,256,1,1,0,0,0,conv
64,7,7,1,32,1,1,0,0,0,conv
64,7,7,1,512,1,1,0,0,0,conv
64,7,7,1,64,1,1,0,0,0,conv
64,7,7,1,8,1,1,0,0,0,conv
64,7,7,3,1024,1,1,0,0,0,conv
64,7,7,3,128,1,1,0,0,0,directconv
64,7,7,3,16,1,1,0,0,0,conv
64,7,7,3,256,1,1,0,0,0,conv
64,7,7,3,32,1,1,0,0,0,directconv
64,7,7,3,512,1,1,0,0,0,conv
64,7,7,3,64,1,1,0,0,0,directconv
64,7,7,3,8,1,1,0,0,0,directconv
64,7,7,5,1024,1,1,0,0,0,directconv
64,7,7,5,128,1,1,0,0,0,conv
64,7,7,5,16,1,1,0,0,0,directconv
64,7,7,5,256,1,1,0,0,0,conv
64,7,7,5,32,1,1,0,0,0,directconv
64,7,7,5,512,1,1,0,0,0,conv
64,7,7,5,64,1,1,0,0,0,directconv
64,7,7,5,8,1,1,0,0,0,directconv
64,7,7,7,1024,1,1,0,0,0,conv
64,7,7,7,128,1,1,0,0,0,conv
64,7,7,7,16,1,1,0,0,0,conv
64,7,7,7,256,1,1,0,0,0,conv
64,7,7,7,32,1,1,0,0,0,conv
64,7,7,7,512,1,1,0,0,0,conv
64,7,7,7,64,1,1,0,0,0,conv
64,7,7,7,8,1,1,0,0,0,conv
64,7,7,9,1024,1,1,0,0,0,conv
64,7,7,9,128,1,1,0,0,0,conv
64,7,7,9,16,1,1,0,0,0,conv
64,7,7,9,256,1,1,0,0,0,conv
64,7,7,9,32,1,1,0,0,0,conv
64,7,7,9,512,1,1,0,0,0,conv
64,7,7,9,64,1,1,0,0,0,conv
64,7,7,9,8,1,1,0,0,0,conv
8,7,7,1,1024,1,1,0,0,0,conv
8,7,7,1,128,1,1,0,0,0,conv
8,7,7,1,16,1,1,0,0,0,conv
8,7,7,1,256,1,1,0,0,0,conv
8,7,7,1,32,1,1,0,0,0,conv
8,7,7,1,512,1,1,0,0,0,conv
8,7,7,1,64,1,1,0,0,0,conv
8,7,7,1,8,1,1,0,0,0,conv
8,7,7,3,1024,1,1,0,0,0,directconv
8,7,7,3,128,1,1,0,0,0,directconv
8,7,7,3,16,1,1,0,0,0,directconv
8,7,7,3,256,1,1,0,0,0,directconv
8,7,7,3,32,1,1,0,0,0,conv
8,7,7,3,512,1,1,0,0,0,directconv
8,7,7,3,64,1,1,0,0,0,directconv
8,7,7,3,8,1,1,0,0,0,directconv
8,7,7,5,1024,1,1,0,0,0,conv
8,7,7,5,128,1,1,0,0,0,conv
8,7,7,5,16,1,1,0,0,0,conv
8,7,7,5,256,1,1,0,0,0,conv
8,7,7,5,32,1,1,0,0,0,directconv
8,7,7,5,512,1,1,0,0,0,conv
8,7,7,5,64,1,1,0,0,0,conv
8,7,7,5,8,1,1,0,0,0,directconv
8,7,7,7,1024,1,1,0,0,0,conv
8,7,7,7,128,1,1,0,0,0,conv
8,7,7,7,16,1,1,0,0,0,conv
8,7,7,7,256,1,1,0,0,0,conv
8,7,7,7,32,1,1,0,0,0,conv
8,7,7,7,512,1,1,0,0,0,conv
8,7,7,7,64,1,1,0,0,0,conv
8,7,7,7,8,1,1,0,0,0,conv
8,7,7,9,1024,1,1,0,0,0,conv
8,7,7,9,128,1,1,0,0,0,conv
8,7,7,9,16,1,1,0,0,0,conv
8,7,7,9,256,1,1,0,0,0,conv
8,7,7,9,32,1,1,0,0,0,conv
8,7,7,9,512,1,1,0,0,0,conv
8,7,7,9,64,1,1,0,0,0,conv
8,7,7,9,8,1,1,0,0,0,conv
1024,7,7,1,1024,1,1,0,1,0,conv
1024,7,7,1,128,1,1,0,1,0,conv
1024,7,7,1,16,1,1,0,1,0,directconv
1024,7,7,1,256,1,1,0,1,0,conv
1024,7,7,1,32,1,1,0,1,0,conv
1024,7,7,1,512,1,1,0,1,0,conv
1024,7,7,1,64,1,1,0,1,0,conv
1024,7,7,1,8,1,1,0,1,0,directconv
1024,7,7,3,1024,1,1,0,1,0,conv
1024,7,7,3,128,1,1,0,1,0,conv
1024,7,7,3,16,1,1,0,1,0,directconv
1024,7,7,3,256,1,1,0,1,0,conv
1024,7,7,3,32,1,1,0,1,0,directconv
1024,7,7,3,512,1,1,0,1,0,conv
1024,7,7,3,64,1,1,0,1,0,directconv
1024,7,7,3,8,1,1,0,1,0,directconv
1024,7,7,5,1024,1,1,0,1,0,directconv
1024,7,7,5,128,1,1,0,1,0,conv
1024,7,7,5,16,1,1,0,1,0,directconv
1024,7,7,5,256,1,1,0,1,0,conv
1024,7,7,5,32,1,1,0,1,0,directconv
1024,7,7,5,512,1,1,0,1,0,conv
1024,7,7,5,64,1,1,0,1,0,directconv
1024,7,7,5,8,1,1,0,1,0,directconv
1024,7,7,7,1024,1,1,0,1,0,conv
1024,7,7,7,128,1,1,0,1,0,conv
1024,7,7,7,16,1,1,0,1,0,conv
1024,7,7,7,256,1,1,0,1,0,conv
1024,7,7,7,32,1,1,0,1,0,conv
1024,7,7,7,512,1,1,0,1,0,conv
1024,7,7,7,64,1,1,0,1,0,conv
1024,7,7,7,8,1,1,0,1,0,conv
1024,7,7,9,1024,1,1,0,1,0,conv
1024,7,7,9,128,1,1,0,1,0,conv
1024,7,7,9,16,1,1,0,1,0,conv
1024,7,7,9,256,1,1,0,1,0,conv
1024,7,7,9,32,1,1,0,1,0,conv
1024,7,7,9,512,1,1,0,1,0,conv
1024,7,7,9,64,1,1,0,1,0,conv
1024,7,7,9,8,1,1,0,1,0,conv
128,7,7,1,1024,1,1,0,1,0,conv
128,7,7,1,128,1,1,0,1,0,conv
128,7,7,1,16,1,1,0,1,0,directconv
128,7,7,1,256,1,1,0,1,0,conv
128,7,7,1,32,1,1,0,1,0,directconv
128,7,7,1,512,1,1,0,1,0,conv
128,7,7,1,64,1,1,0,1,0,directconv
128,7,7,1,8,1,1,0,1,0,directconv
128,7,7,3,1024,1,1,0,1,0,conv
128,7,7,3,128,1,1,0,1,0,directconv
128,7,7,3,16,1,1,0,1,0,directconv
128,7,7,3,256,1,1,0,1,0,directconv
128,7,7,3,32,1,1,0,1,0,directconv
128,7,7,3,512,1,1,0,1,0,directconv
128,7,7,3,64,1,1,0,1,0,directconv
128,7,7,3,8,1,1,0,1,0,directconv
128,7,7,5,1024,1,1,0,1,0,directconv
128,7,7,5,128,1,1,0,1,0,directconv
128,7,7,5,16,1,1,0,1,0,directconv
128,7,7,5,256,1,1,0,1,0,directconv
128,7,7,5,32,1,1,0,1,0,directconv
128,7,7,5,512,1,1,0,1,0,directconv
128,7,7,5,64,1,1,0,1,0,directconv
128,7,7,5,8,1,1,0,1,0,directconv
128,7,7,7,1024,1,1,0,1,0,conv
128,7,7,7,128,1,1,0,1,0,conv
128,7,7,7,16,1,1,0,1,0,conv
128,7,7,7,256,1,1,0,1,0,conv
128,7,7,7,32,1,1,0,1,0,conv
128,7,7,7,512,1,1,0,1,0,conv
128,7,7,7,64,1,1,0,1,0,conv
128,7,7,7,8,1,1,0,1,0,conv
128,7,7,9,1024,1,1,0,1,0,conv
128,7,7,9,128,1,1,0,1,0,conv
128,7,7,9,16,1,1,0,1,0,conv
128,7,7,9,256,1,1,0,1,0,conv
128,7,7,9,32,1,1,0,1,0,conv
128,7,7,9,512,1,1,0,1,0,conv
128,7,7,9,64,1,1,0,1,0,conv
128,7,7,9,8,1,1,0,1,0,conv
16,7,7,1,1024,1,1,0,1,0,directconv
16,7,7,1,128,1,1,0,1,0,directconv
16,7,7,1,16,1,1,0,1,0,directconv
16,7,7,1,256,1,1,0,1,0,directconv
16,7,7,1,32,1,1,0,1,0,directconv
16,7,7,1,512,1,1,0,1,0,directconv
16,7,7,1,64,1,1,0,1,0,directconv
16,7,7,1,8,1,1,0,1,0,directconv
16,7,7,3,1024,1,1,0,1,0,conv
16,7,7,3,128,1,1,0,1,0,directconv
16,7,7,3,16,1,1,0,1,0,directconv
16,7,7,3,256,1,1,0,1,0,directconv
16,7,7,3,32,1,1,0,1,0,directconv
16,7,7,3,512,1,1,0,1,0,directconv
16,7,7,3,64,1,1,0,1,0,directconv
16,7,7,3,8,1,1,0,1,0,directconv
16,7,7,5,1024,1,1,0,1,0,directconv
16,7,7,5,128,1,1,0,1,0,directconv
16,7,7,5,16,1,1,0,1,0,directconv
16,7,7,5,256,1,1,0,1,0,directconv
16,7,7,5,32,1,1,0,1,0,directconv
16,7,7,5,512,1,1,0,1,0,directconv
16,7,7,5,64,1,1,0,1,0,directconv
16,7,7,5,8,1,1,0,1,0,directconv
16,7,7,7,1024,1,1,0,1,0,conv
16,7,7,7,128,1,1,0,1,0,conv
16,7,7,7,16,1,1,0,1,0,conv
16,7,7,7,256,1,1,0,1,0,conv
16,7,7,7,32,1,1,0,1,0,conv
16,7,7,7,512,1,1,0,1,0,conv
16,7,7,7,64,1,1,0,1,0,conv
16,7,7,7,8,1,1,0,1,0,conv
16,7,7,9,1024,1,1,0,1,0,conv
16,7,7,9,128,1,1,0,1,0,conv
16,7,7,9,16,1,1,0,1,0,conv
16,7,7,9,256,1,1,0,1,0,conv
16,7,7,9,32,1,1,0,1,0,conv
16,7,7,9,512,1,1,0,1,0,conv
16,7,7,9,64,1,1,0,1,0,conv
16,7,7,9,8,1,1,0,1,0,conv
2048,7,7,1,1024,1,1,0,1,0,conv
2048,7,7,1,128,1,1,0,1,0,conv
2048,7,7,1,16,1,1,0,1,0,directconv
2048,7,7,1,256,1,1,0,1,0,conv
2048,7,7,1,32,1,1,0,1,0,conv
2048,7,7,1,512,1,1,0,1,0,conv
2048,7,7,1,64,1,1,0,1,0,conv
2048,7,7,1,8,1,1,0,1,0,directconv
2048,7,7,3,1024,1,1,0,1,0,directconv
2048,7,7,3,128,1,1,0,1,0,conv
2048,7,7,3,16,1,1,0,1,0,directconv
2048,7,7,3,256,1,1,0,1,0,conv
2048,7,7,3,32,1,1,0,1,0,directconv
2048,7,7,3,512,1,1,0,1,0,conv
2048,7,7,3,64,1,1,0,1,0,directconv
2048,7,7,3,8,1,1,0,1,0,directconv
2048,7,7,5,1024,1,1,0,1,0,directconv
2048,7,7,5,128,1,1,0,1,0,conv
2048,7,7,5,16,1,1,0,1,0,directconv
2048,7,7,5,256,1,1,0,1,0,conv
2048,7,7,5,32,1,1,0,1,0,directconv
2048,7,7,5,512,1,1,0,1,0,directconv
2048,7,7,5,64,1,1,0,1,0,directconv
2048,7,7,5,8,1,1,0,1,0,directconv
2048,7,7,7,1024,1,1,0,1,0,conv
2048,7,7,7,128,1,1,0,1,0,conv
2048,7,7,7,16,1,1,0,1,0,conv
2048,7,7,7,256,1,1,0,1,0,conv
2048,7,7,7,32,1,1,0,1,0,conv
2048,7,7,7,512,1,1,0,1,0,conv
2048,7,7,7,64,1,1,0,1,0,conv
2048,7,7,7,8,1,1,0,1,0,conv
2048,7,7,9,1024,1,1,0,1,0,conv
2048,7,7,9,128,1,1,0,1,0,conv
2048,7,7,9,16,1,1,0,1,0,conv
2048,7,7,9,256,1,1,0,1,0,conv
2048,7,7,9,32,1,1,0,1,0,conv
2048,7,7,9,512,1,1,0,1,0,conv
2048,7,7,9,64,1,1,0,1,0,conv
2048,7,7,9,8,1,1,0,1,0,conv
256,7,7,1,1024,1,1,0,1,0,conv
256,7,7,1,128,1,1,0,1,0,conv
256,7,7,1,16,1,1,0,1,0,directconv
256,7,7,1,256,1,1,0,1,0,conv
256,7,7,1,32,1,1,0,1,0,directconv
256,7,7,1,512,1,1,0,1,0,conv
256,7,7,1,64,1,1,0,1,0,conv
256,7,7,1,8,1,1,0,1,0,directconv
256,7,7,3,1024,1,1,0,1,0,conv
256,7,7,3,128,1,1,0,1,0,directconv
